Date (DD/MM/YYYY),Legend sector,Legend planet,Legend exotic,Master sector,Master planet,Master exotic
11/05/2021,Perdition,Europa,Chest,Bunker E15,Europa,Arms
12/05/2021,The Quarry,EDZ,Helmet,Perdition,Europa,Chest
13/05/2021,Scavenger's Den,EDZ,Legs,The Quarry,EDZ,Helmet
14/05/2021,Excavation Site XII,EDZ,Arms,Scavenger's Den,EDZ,Legs
15/05/2021,Exodus Garden 2A,Cosmodrome,Chest,Excavation Site XII,EDZ,Arms
16/05/2021,Veles Labyrinth,Cosmodrome,Helmet,Exodus Garden 2A,Cosmodrome,Chest
17/05/2021,The Empty Tank,Tangled Shore,Legs,Veles Labyrinth,Cosmodrome,Helmet
18/05/2021,K1 Logistics,Moon,Arms,The Empty Tank,Tangled Shore,Legs
19/05/2021,K1 Communion,Moon,Chest,K1 Logistics,Moon,Arms
20/05/2021,K1 Crew Quarters,Moon,Helmet,K1 Communion,Moon,Chest
21/05/2021,K1 Revelation,Moon,Legs,K1 Crew Quarters,Moon,Helmet
22/05/2021,Concealed Void,Europa,Arms,K1 Revelation,Moon,Legs
23/05/2021,Bunker E15,Europa,Chest,Concealed Void,Europa,Arms
24/05/2021,Perdition,Europa,Helmet,Bunker E15,Europa,Chest
25/05/2021,The Quarry,EDZ,Legs,Perdition,Europa,Helmet
26/05/2021,Scavenger's Den,EDZ,Arms,The Quarry,EDZ,Legs
27/05/2021,Excavation Site XII,EDZ,Chest,Scavenger's Den,EDZ,Arms
28/05/2021,Exodus Garden 2A,Cosmodrome,Helmet,Excavation Site XII,EDZ,Chest
29/05/2021,Veles Labyrinth,Cosmodrome,Legs,Exodus Garden 2A,Cosmodrome,Helmet
30/05/2021,The Empty Tank,Tangled Shore,Arms,Veles Labyrinth,Cosmodrome,Legs
31/05/2021,K1 Logistics,Moon,Chest,The Empty Tank,Tangled Shore,Arms
01/06/2021,K1 Communion,Moon,Helmet,K1 Logistics,Moon,Chest
02/06/2021,K1 Crew Quarters,Moon,Legs,K1 Communion,Moon,Helmet
03/06/2021,K1 Revelation,Moon,Arms,K1 Crew Quarters,Moon,Legs
04/06/2021,Concealed Void,Europa,Chest,K1 Revelation,Moon,Arms
05/06/2021,Bunker E15,Europa,Helmet,Concealed Void,Europa,Chest
06/06/2021,Perdition,Europa,Legs,Bunker E15,Europa,Helmet
07/06/2021,The Quarry,EDZ,Arms,Perdition,Europa,Legs
08/06/2021,Scavenger's Den,EDZ,Chest,The Quarry,EDZ,Arms
09/06/2021,Excavation Site XII,EDZ,Helmet,Scavenger's Den,EDZ,Chest
10/06/2021,Exodus Garden 2A,Cosmodrome,Legs,Excavation Site XII,EDZ,Helmet
11/06/2021,Veles Labyrinth,Cosmodrome,Arms,Exodus Garden 2A,Cosmodrome,Legs
12/06/2021,The Empty Tank,Tangled Shore,Chest,Veles Labyrinth,Cosmodrome,Arms
13/06/2021,K1 Logistics,Moon,Helmet,The Empty Tank,Tangled Shore,Chest
14/06/2021,K1 Communion,Moon,Legs,K1 Logistics,Moon,Helmet
15/06/2021,K1 Crew Quarters,Moon,Arms,K1 Communion,Moon,Legs
16/06/2021,K1 Revelation,Moon,Chest,K1 Crew Quarters,Moon,Arms
17/06/2021,Concealed Void,Europa,Helmet,K1 Revelation,Moon,Chest
18/06/2021,Bunker E15,Europa,Legs,Concealed Void,Europa,Helmet
19/06/2021,Perdition,Europa,Arms,Bunker E15,Europa,Legs
20/06/2021,The Quarry,EDZ,Chest,Perdition,Europa,Arms
21/06/2021,Scavenger's Den,EDZ,Helmet,The Quarry,EDZ,Chest
22/06/2021,Excavation Site XII,EDZ,Legs,Scavenger's Den,EDZ,Helmet
23/06/2021,Exodus Garden 2A,Cosmodrome,Arms,Excavation Site XII,EDZ,Legs
24/06/2021,Veles Labyrinth,Cosmodrome,Chest,Exodus Garden 2A,Cosmodrome,Arms
25/06/2021,The Empty Tank,Tangled Shore,Helmet,Veles Labyrinth,Cosmodrome,Chest
26/06/2021,K1 Logistics,Moon,Legs,The Empty Tank,Tangled Shore,Helmet
27/06/2021,K1 Communion,Moon,Arms,K1 Logistics,Moon,Legs
28/06/2021,K1 Crew Quarters,Moon,Chest,K1 Communion,Moon,Arms
29/06/2021,K1 Revelation,Moon,Helmet,K1 Crew Quarters,Moon,Chest
30/06/2021,Concealed Void,Europa,Legs,K1 Revelation,Moon,Helmet
01/07/2021,Bunker E15,Europa,Arms,Concealed Void,Europa,Legs
02/07/2021,Perdition,Europa,Chest,Bunker E15,Europa,Arms
03/07/2021,The Quarry,EDZ,Helmet,Perdition,Europa,Chest
04/07/2021,Scavenger's Den,EDZ,Legs,The Quarry,EDZ,Helmet
05/07/2021,Excavation Site XII,EDZ,Arms,Scavenger's Den,EDZ,Legs
06/07/2021,Exodus Garden 2A,Cosmodrome,Chest,Excavation Site XII,EDZ,Arms
07/07/2021,Veles Labyrinth,Cosmodrome,Helmet,Exodus Garden 2A,Cosmodrome,Chest
08/07/2021,The Empty Tank,Tangled Shore,Legs,Veles Labyrinth,Cosmodrome,Helmet
09/07/2021,K1 Logistics,Moon,Arms,The Empty Tank,Tangled Shore,Legs
10/07/2021,K1 Communion,Moon,Chest,K1 Logistics,Moon,Arms
11/07/2021,K1 Crew Quarters,Moon,Helmet,K1 Communion,Moon,Chest
12/07/2021,K1 Revelation,Moon,Legs,K1 Crew Quarters,Moon,Helmet
13/07/2021,Concealed Void,Europa,Arms,K1 Revelation,Moon,Legs
14/07/2021,Bunker E15,Europa,Chest,Concealed Void,Europa,Arms
15/07/2021,Perdition,Europa,Helmet,Bunker E15,Europa,Chest
16/07/2021,The Quarry,EDZ,Legs,Perdition,Europa,Helmet
17/07/2021,Scavenger's Den,EDZ,Arms,The Quarry,EDZ,Legs
18/07/2021,Excavation Site XII,EDZ,Chest,Scavenger's Den,EDZ,Arms
19/07/2021,Exodus Garden 2A,Cosmodrome,Helmet,Excavation Site XII,EDZ,Chest
20/07/2021,Veles Labyrinth,Cosmodrome,Legs,Exodus Garden 2A,Cosmodrome,Helmet
21/07/2021,The Empty Tank,Tangled Shore,Arms,Veles Labyrinth,Cosmodrome,Legs
22/07/2021,K1 Logistics,Moon,Chest,The Empty Tank,Tangled Shore,Arms
23/07/2021,K1 Communion,Moon,Helmet,K1 Logistics,Moon,Chest
24/07/2021,K1 Crew Quarters,Moon,Legs,K1 Communion,Moon,Helmet
25/07/2021,K1 Revelation,Moon,Arms,K1 Crew Quarters,Moon,Legs
26/07/2021,Concealed Void,Europa,Chest,K1 Revelation,Moon,Arms
27/07/2021,Bunker E15,Europa,Helmet,Concealed Void,Europa,Chest
28/07/2021,Perdition,Europa,Legs,Bunker E15,Europa,Helmet
29/07/2021,The Quarry,EDZ,Arms,Perdition,Europa,Legs
30/07/2021,Scavenger's Den,EDZ,Chest,The Quarry,EDZ,Arms
31/07/2021,Excavation Site XII,EDZ,Helmet,Scavenger's Den,EDZ,Chest
01/08/2021,Exodus Garden 2A,Cosmodrome,Legs,Excavation Site XII,EDZ,Helmet
02/08/2021,Veles Labyrinth,Cosmodrome,Arms,Exodus Garden 2A,Cosmodrome,Legs
03/08/2021,The Empty Tank,Tangled Shore,Chest,Veles Labyrinth,Cosmodrome,Arms
04/08/2021,K1 Logistics,Moon,Helmet,The Empty Tank,Tangled Shore,Chest
05/08/2021,K1 Communion,Moon,Legs,K1 Logistics,Moon,Helmet
06/08/2021,K1 Crew Quarters,Moon,Arms,K1 Communion,Moon,Legs
07/08/2021,K1 Revelation,Moon,Chest,K1 Crew Quarters,Moon,Arms
08/08/2021,Concealed Void,Europa,Helmet,K1 Revelation,Moon,Chest
09/08/2021,Bunker E15,Europa,Legs,Concealed Void,Europa,Helmet
10/08/2021,Perdition,Europa,Arms,Bunker E15,Europa,Legs
11/08/2021,The Quarry,EDZ,Chest,Perdition,Europa,Arms
12/08/2021,Scavenger's Den,EDZ,Helmet,The Quarry,EDZ,Chest
13/08/2021,Excavation Site XII,EDZ,Legs,Scavenger's Den,EDZ,Helmet
14/08/2021,Exodus Garden 2A,Cosmodrome,Arms,Excavation Site XII,EDZ,Legs
15/08/2021,Veles Labyrinth,Cosmodrome,Chest,Exodus Garden 2A,Cosmodrome,Arms
