Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields
22-02-2022,Veles Labyrinth,Cosmodrome,Chest,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
23-02-2022,Exodus Garden 2A,Cosmodrome,Helmet,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
24-02-2022,Aphelion's Rest,Dreaming City,Legs,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
25-02-2022,Bay of Drowned Wishes,Dreaming City,Arms,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
26-02-2022,Chamber of Starlight,Dreaming City,Chest,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
27-02-2022,K1 Revelation,Moon,Helmet,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
28-02-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
01-03-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
02-03-2022,Metamorphosis,Throne World,Chest,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
03-03-2022,Sepulcher,Throne World,Helmet,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
04-03-2022,Extraction,Throne World,Legs,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
05-03-2022,Veles Labyrinth,Cosmodrome,Arms,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
06-03-2022,Exodus Garden 2A,Cosmodrome,Chest,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
07-03-2022,Aphelion's Rest,Dreaming City,Helmet,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
08-03-2022,Bay of Drowned Wishes,Dreaming City,Legs,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
09-03-2022,Chamber of Starlight,Dreaming City,Arms,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
10-03-2022,K1 Revelation,Moon,Chest,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
11-03-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
12-03-2022,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
13-03-2022,Metamorphosis,Throne World,Arms,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
14-03-2022,Sepulcher,Throne World,Chest,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
15-03-2022,Extraction,Throne World,Helmet,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
