Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields,Notes
06-12-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
07-12-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
08-12-2022,K1 Revelation,Moon,Legs,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
09-12-2022,K1 Communion,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
10-12-2022,Bunker E15,Europa,Chest,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
11-12-2022,Concealed Void,Europa,Helmet,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
12-12-2022,Perdition,Europa,Legs,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
13-12-2022,Sepulcher,Throne World,Arms,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
14-12-2022,Extraction,Throne World,Chest,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
15-12-2022,Chamber of Starlight,Dreaming City,Helmet,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
16-12-2022,Aphelion's Rest,Dreaming City,Legs,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
17-12-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
18-12-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
